id,title,description,availability,condition,price,link,image_link,brand
317002-bermuda-maria-sol,317002 - BERMUDA MARIA SOL,Bermuda com bordado na lateral,in stock,new,228.00 BRL,https://mariasetal.com/317002-bermuda-maria-sol,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/92211685-6b75-4af5-9a73-cd6d20e1de40.jpg,Marias & Tal
317003-saia-maria-isadora,317003 - SAIA MARIA ISADORA,Saia longa com pala em lastex,in stock,new,306.00 BRL,https://mariasetal.com/317003-saia-maria-isadora,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/aac38bbb-2ebd-4f60-b89c-aa4c89903914.jpg,Marias & Tal
317006-camisa-maria-edith-,317006 - CAMISA MARIA EDITH ,Camisa manga longa com bordado branco,in stock,new,372.00 BRL,https://mariasetal.com/317006-camisa-maria-edith-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/7b6f86e2-b6e1-4bbe-a730-d75d5c86cebd.jpg,Marias & Tal
317007-vestido-ivy-maria,317007 - VESTIDO IVY MARIA,Sobre essa peça: Composição: 100% viscolinho. Descrição: Vestido alcinhas fininhas em tecido leve com frufru nos babados.,in stock,new,396.00 BRL,https://mariasetal.com/317007-vestido-ivy-maria,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/0a69e4e0-8442-413d-aaac-e8091e5a1f90.jpg,Marias & Tal
317011-top-yolanda-maria,317011 - TOP YOLANDA MARIA,Top com busto torcido em tecido xadrez pink,in stock,new,54.00 BRL,https://mariasetal.com/317011-top-yolanda-maria,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/8b560343-8fde-4464-8673-8aed253cbbd3.jpg,Marias & Tal
317012-calca-maria-barbara,317012 - CALÇA MARIA BARBARA,Calça reta em tecido xadrez pink,in stock,new,149.00 BRL,https://mariasetal.com/317012-calca-maria-barbara,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/d7d15f39-7340-4fa3-8b57-1f431319684c.jpg,Marias & Tal
317014-camisa-maria-monica,317014 -  CAMISA MARIA MONICA,100% ALGODÃO,in stock,new,282.90 BRL,https://mariasetal.com/317014-camisa-maria-monica,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/942e65ed-2b79-4403-9c10-835317bb2134.jpg,Marias & Tal
317015-conjunto-maria-emma-,317015 - CONJUNTO MARIA EMMA ,Conjunto de camisa com manga curta e calça com detalhes em bordado branco,in stock,new,219.00 BRL,https://mariasetal.com/317015-conjunto-maria-emma-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/90d187eb-68fd-4925-86d7-3e5843a35b3b.jpg,Marias & Tal
317017-vestido-maria-ivete,317017 - VESTIDO MARIA IVETE,Vestido midi de alças com detalhe vazado,in stock,new,210.00 BRL,https://mariasetal.com/317017-vestido-maria-ivete,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/9dc32dc9-58b4-4bf6-945c-83c13cad4495.jpg,Marias & Tal
317021-camisa-maria-claudia,317021 - CAMISA MARIA CLÁUDIA,Camisa estampada com elástico na manga,in stock,new,195.00 BRL,https://mariasetal.com/317021-camisa-maria-claudia,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/60017ec2-4520-460f-8b13-bbe7475ee3ab.jpg,Marias & Tal
317022-bermuda-maria-lucy,317022 - BERMUDA MARIA LUCY,Bermuda estampada com bolso faca,in stock,new,192.00 BRL,https://mariasetal.com/317022-bermuda-maria-lucy,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/aa53d44a-eaba-43c3-adf0-34784b511365.jpg,Marias & Tal
